secs,nsecs,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,q_w,q_x,q_y,q_z
1786198320,632312088,-0.067387959,0.062856518,9.732357747,-0.000075702,0.000005211,0.000186784,0.972165048,0.004166618,0.002425063,-0.234247506
1786198320,637282942,-0.067387959,0.062856518,9.732357747,-0.000073367,0.000010189,0.000192743,0.972165048,0.004166292,0.002425308,-0.234247312
1786198320,642306511,-0.067387959,0.062856518,9.732357747,-0.000072997,0.000014111,0.000196695,0.972165108,0.004165969,0.002425556,-0.234247133
1786198320,647311261,-0.067387959,0.062856518,9.732357747,-0.000075570,0.000017943,0.000198654,0.972165167,0.004165646,0.002425806,-0.234246954
1786198320,657309747,-0.054184197,0.065501469,9.725254549,-0.000021687,0.000063873,0.000029189,0.972165585,0.004162427,0.002423064,-0.234245181
1786198320,662309464,-0.054184197,0.065501469,9.725254549,-0.000018047,0.000071075,0.000013678,0.972165644,0.004162157,0.002422563,-0.234245166
1786198320,667308848,-0.056567705,0.063048343,9.727613316,-0.000016343,0.000079242,0.000001152,0.972165644,0.004161761,0.002422215,-0.234245166
1786198320,672287326,-0.056567705,0.063048343,9.727613316,-0.000014647,0.000087368,-0.000011312,0.972165644,0.004161373,0.002421880,-0.234245181
1786198320,677315830,-0.056567705,0.063048343,9.727613316,-0.000012960,0.000095454,-0.000023714,0.972165644,0.004160994,0.002421559,-0.234245211
1786198320,682316133,-0.056567705,0.063048343,9.727613316,-0.000009383,0.000104457,-0.000037959,0.972165644,0.004160626,0.002421250,-0.234245241
1786198320,687283043,-0.056567705,0.063048343,9.727613316,-0.000004867,0.000113408,-0.000053093,0.972165644,0.004160270,0.002420955,-0.234245285
1786198320,697308750,-0.067303129,0.061741901,9.723942434,-0.000001612,0.000104181,-0.000077069,0.972165287,0.004159790,0.002425392,-0.234246567
1786198320,702288868,-0.071034310,0.071270643,9.725240516,0.000008458,0.000081415,-0.000078882,0.972165287,0.004160100,0.002425762,-0.234246641
1786198320,707315807,-0.071034310,0.071270643,9.725240516,0.000019402,0.000060697,-0.000081615,0.972165227,0.004160417,0.002426110,-0.234246701
1786198320,717297352,-0.071034310,0.071270643,9.725240516,0.000025405,0.000040978,-0.000085340,0.972165227,0.004160737,0.002426439,-0.234246790
1786198320,722339355,-0.071034310,0.071270643,9.725240516,0.000029404,0.000023274,-0.000089035,0.972165227,0.004161058,0.002426752,-0.234246880
1786198320,727342076,-0.071034310,0.071270643,9.725240516,0.000028536,0.000007597,-0.000089820,0.972165167,0.004161377,0.002427051,-0.234246954
1786198320,732365517,-0.065022833,0.068941395,9.726442704,0.000025750,-0.000005021,-0.000085722,0.972165167,0.004161478,0.002427032,-0.234247044
1786198320,742363108,-0.059078910,0.070183901,9.730089027,-0.000034113,0.000006003,0.000081650,0.972165406,0.004161509,0.002419918,-0.234246224
1786198320,747389611,-0.059078910,0.070183901,9.730089027,-0.000035269,0.000014424,0.000066812,0.972165406,0.004161548,0.002419545,-0.234246150
1786198320,752372478,-0.059078910,0.070183901,9.730089027,-0.000037388,0.000021802,0.000051052,0.972165406,0.004161587,0.002419179,-0.234246090
1786198320,757346150,-0.059078910,0.070183901,9.730089027,-0.000039493,0.000028155,0.000034384,0.972165406,0.004161627,0.002418817,-0.234246045
1786198320,762365797,-0.059078910,0.070183901,9.730089027,-0.000039602,0.000033565,0.000019745,0.972165406,0.004161667,0.002418459,-0.234246016
1786198320,767351906,-0.061484510,0.070139946,9.731276012,-0.000041644,0.000040921,0.000008103,0.972165406,0.004161744,0.002418256,-0.234246001
1786198320,772366567,-0.061484510,0.070139946,9.731276012,-0.000042693,0.000049258,-0.000001515,0.972165406,0.004161822,0.002418062,-0.234246001
